name,date,location,type,region,latitude,longitude,weather
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,,,
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,,,
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,,,
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Poolside,2/2/2024,The Showbox,Music,Downtown,,,
Poolside,2/2/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,,,
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
